,geometry,address
27,POINT (85.3510111 27.7019771),"C2 Area ,near airport, Shambhu Marg, Bhimsen Gola, Sinamangal, काठमाडौं, Kathmandu, काठमाडौं, Bagmati Pradesh, 44703, नेपाल"
28,POINT (-2.49845361947528 49.82921075),"English Channel / La Manche, Guernsey"
29,POINT (2.1774322 41.3828939),"Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España"
30,POINT (-90.5185188 14.6222328),"Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
31,POINT (-97.160961 26.0745309),"Atlantic Ocean, Cameron County, 78597, United States"
32,POINT (104.719221 56.6370122),"Иркутская область, Сибирский федеральный округ, Россия"
33,POINT (-83.0007065 39.9622601),"Columbus, Franklin County, Ohio, United States"
34,POINT (77.2090057 28.6138954),"New Delhi, Delhi, India"
35,POINT (-58.4370894 -34.6075682),"Buenos Aires, Comuna 6, Ciudad Autónoma de Buenos Aires, Argentina"
36,POINT (-122.419906 37.7790262),"San Francisco, California, United States"
37,POINT (-80.19362 25.7741728),"Miami, Miami-Dade County, Florida, United States"
38,POINT (-7.6187768 33.5950627),"Casablanca ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء, Pachalik de Casablanca, Préfecture de Casablanca عمالة الدار البيضاء, Casablanca-Settat ⵜⵉⴳⵎⵉ ⵜⵓⵎⵍⵉⵍⵜ-ⵙⵟⵟⴰⵜ الدار البيضاء-سطات, Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب"
39,POINT (3.3941795 6.4550575),"Lagos, Lagos Island, Lagos, 100242, Nigeria"
40,POINT (-104.820246 41.139981),"Cheyenne, Laramie County, Wyoming, United States"
41,POINT (23.7283052 37.9839412),"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 104 31, Ελλάς"
42,POINT EMPTY,
43,POINT (139.757653 35.6812665),"東京都, 日本"
44,POINT (23.3217359 42.6977028),"София, Столична, София-град, България"
45,POINT (-66.116666 18.465299),"San Juan, Puerto Rico, United States"
46,POINT (-94.5781416 39.100105),"Kansas City, Jackson County, Missouri, United States"
47,POINT (-73.9623427 40.7587979),"New York, 1884, 1st Avenue, Manhattan Community Board 6, Manhattan, New York County, City of New York, New York, 10155, United States"
48,POINT (-78.5123274 -0.2201641),"Quito, Pichincha, 170403, Ecuador"
49,POINT (13.1777923 32.896672),"طرابلس, ليبيا"
50,POINT (-74.2107006 40.6639916),"Elizabeth, Union County, New Jersey, United States"
51,POINT (9.7385532 52.3744779),"Hannover, Region Hannover, Niedersachsen, Deutschland"
52,POINT (-75.573553 6.2443382),"Perímetro Urbano Medellín, Medellín, Valle de Aburrá, Antioquia, Colombia"
53,POINT (-64.91889970060265 18.34290815),"Saint Thomas, Charlotte Amalie, Saint Thomas - Saint John District, United States Virgin Islands, United States"
54,POINT (-74.7988827 10.9810761),"Perímetro Urbano Barranquilla, Barranquilla, Atlántico, RAP Caribe, Colombia"
55,POINT (-73.6201517 4.1347644),"Perímetro Urbano Villavicencio, Villavicencio, Capital, Meta, Colombia"
56,POINT (-90.1910154 38.6280278),"St. Louis, Missouri, United States"
57,POINT (121.4692071 31.2322758),"上海市, 中国"
58,POINT (55.4210633 25.3461498),"مدينة الشارقة, الشارقة, الإمارات العربية المتحدة"
59,POINT (88.3638953 22.5726459),"Kolkata, West Bengal, India"
60,POINT (-95.3676974 29.7589382),"Houston, Harris County, Texas, United States"
61,POINT (-117.42351 47.6571934),"Spokane, Spokane County, Washington, United States"
62,POINT (-72.3936931 5.3356662),"Perímetro Urbano Yopal, Yopal, Casanare, Colombia"
63,POINT (-0.5800364 44.841225),"Bordeaux, Gironde, Nouvelle-Aquitaine, France métropolitaine, France"
64,POINT (21.0067249 52.2319581),"Warszawa, województwo mazowieckie, Polska"
65,POINT (-81.655651 30.3321838),"Jacksonville, Duval County, Florida, United States"
66,POINT (-111.886797 40.7596198),"Salt Lake City, Salt Lake County, Utah, United States"
67,POINT (8.6820917 50.1106444),"Frankfurt am Main, Hessen, Deutschland"
68,POINT (36.8172449 -1.2832533),"Nairobi, Kenya"
69,POINT EMPTY,
70,POINT EMPTY,
71,POINT (73.0651511 33.6938118),"اسلام آباد, وفاقی دارالحکومت اسلام آباد, 44000, پاکستان"
72,POINT (8.5410422 47.3744489),"Zürich, Bezirk Zürich, Zürich, Schweiz/Suisse/Svizzera/Svizra"
73,POINT (32.5349123 15.5635972),"الخرطوم, ولاية الخرطوم, السودان"
74,POINT (-79.9900861 40.4416941),"Pittsburgh, Allegheny County, Pennsylvania, United States"
75,POINT (45.3419183 2.0349312),"Muqdisho مقديشو, Banaadir بنادر, Soomaaliya الصومال"
76,POINT EMPTY,
77,POINT (-84.5124602 39.1014537),"Cincinnati, Hamilton County, Ohio, United States"
78,POINT (85.3205817 27.708317),"काठमाडौं, Kathmandu, काठमाडौं, Bagmati Pradesh, नेपाल"
79,POINT (-0.101957 51.3713049),"Croydon, Greater London, England, CR0 1SZ, United Kingdom"
80,POINT EMPTY,
81,POINT (-112.0984941 36.0965604),"Grand Canyon, Arizona, United States"
82,POINT (-170 30),North Pacific Ocean
83,POINT (-99.1331785 19.4326296),"Ciudad de México, México"
84,POINT (8.5364136 11.8948389),"Kano, Nigeria"
85,POINT EMPTY,
86,POINT (2.8911717166880475 56.74123355),North Sea / Nordsee / Noordzee / Nordsøen / Nordsjøen / Mer du Nord
87,POINT (-48.4682453 -1.45056),"Belém, Região Geográfica Imediata de Belém, Região Geográfica Intermediária de Belém, Pará, Região Norte, Brasil"
88,POINT (-8.876893685751469 52.7093263),"Shannon, Shannon Municipal District, County Clare, Munster, Éire / Ireland"
89,POINT EMPTY,
90,POINT EMPTY,
91,POINT EMPTY,
92,POINT (-68.1336229 -16.4955455),"La Paz, Pedro Domingo Murillo, La Paz, Bolivia"
93,POINT (-86.8024326 33.5206824),"Birmingham, Jefferson County, Alabama, United States"
94,POINT (2.4258354 48.9351403),"Le Bourget, Le Raincy, Seine-Saint-Denis, Île-de-France, France métropolitaine, 93350, France"
95,POINT (-81.6332812 38.3505995),"Charleston, Kanawha County, West Virginia, United States"
96,POINT (20.452235589959628 44.788029449999996),"Музеј Југославије, 6, Михаила Мике Јанковића, МЗ Четврти Јули, Београд (Савски венац), Градска општина Савски венац, Београд, Град Београд, Централна Србија, 11000, Србија"
97,POINT EMPTY,
98,POINT (-157.855676 21.304547),"Honolulu, Honolulu County, Hawaii, United States"
99,POINT (-87.2040052 14.1057433),"Tegucigalpa, Francisco Morazán, Honduras"
100,POINT (-71.060511 42.3554334),"Boston, Suffolk County, Massachusetts, United States"
101,POINT (72.8484771114022 19.25121885),"dog park, Shivaji Nagar, R/N Ward, Zone 4, Mumbai, Mumbai Suburban, Maharashtra, 400103, India"
102,POINT (112.7378266 -7.2459717),"Surabaya, Jawa Timur, Indonesia"
103,POINT (50.1202146 26.2966528),"الظهران, محافظة الدمام, المنطقة الشرقية, 34453, السعودية"
104,POINT (-131.6466819 55.3430696),"Ketchikan, Ketchikan Gateway, Alaska, 99901, United States"
105,POINT (-84.0795782 9.9325427),"San José, Hospital, Cantón San José, Provincia San José, 10103, Costa Rica"
106,POINT EMPTY,
107,POINT (-2.2451148 53.4794892),"Manchester, Greater Manchester, England, United Kingdom"
108,POINT (-75.8294928 20.0214637),"Santiago de Cuba, Cuba"
109,POINT (-10.797788 6.328034),"Monrovia, Greater Monrovia, Montserrado County, Liberia"
110,POINT (-113.491241 53.5462055),"Edmonton, Alberta, Canada"
111,POINT (-117.1627728 32.7174202),"San Diego, San Diego County, California, United States"
112,POINT (-81.7724368 24.5625566),"Key West, Monroe County, Florida, United States"
113,POINT (-82.3589631 23.135305),"La Habana, La Habana Vieja, La Habana, 10000, Cuba"
114,POINT (-89.9066163 25.2834459),Golfo de México
115,POINT (-120.9375 -0.703107),Pacific Ocean
116,POINT (-72.643631 41.9281305),"Windsor Locks, Capitol Region COG, Connecticut, 06096, United States"
117,POINT (36.8060237 -1.2946974),"Hadassah Hotel, Opposite upper hill medical centre, near Nairobi Hospital, Ralph Bunche Rd, Nairobi, Ralph Bunche Road, Hurlingham, Nairobi, 00202, Kenya"
118,POINT (-66.16756808852 -17.401245799999998),"Cochabamba, Villa Coronilla, Cochabamba, Cercado, Cochabamba, Bolivia"
119,POINT (-90.0782127 29.9759983),"New Orleans, Orleans Parish, Louisiana, United States"
120,POINT (29.225652 -1.6665685),"Goma, Nord-Kivu, République démocratique du Congo"
121,POINT (4.3208436 24.3753438),"Tamanrasset ⵜⴰⵎⴰⵏⵖⴰⵙⴻⵜ تمنراست, Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر"
122,POINT (104.29383235 52.28979145),"Экспозиция военной техники, улица Карла Маркса, Правобережный округ, Правобережный административный округ, Иркутск, городской округ Иркутск, Иркутская область, Сибирский федеральный округ, 664026, Россия"
123,POINT (104.999927 35.000074),中国
124,POINT (-83.5378173 41.6529143),"Toledo, Lucas County, Ohio, United States"
125,POINT (12.4836806 55.6823976),"SuperBrugsen Bake-off, Thorupgård Allé, Vanløse, København, Københavns Kommune, Region Hovedstaden, 2720, Danmark"
126,POINT (-73.7793733748521 40.642947899999996),"John F. Kennedy International Airport, JFK Access Road, Queens, City of New York, New York, 11430, United States"
127,POINT (11.077298 49.453872),"Nürnberg, Bayern, Deutschland"
128,POINT (13.2439512 -8.8272699),"Luanda, Município de Luanda, Luanda, Angola"
129,POINT (9.706203 4.0429408),"Douala, Douala II, Communauté urbaine de Douala, Wouri, Littoral, Cameroun"
130,POINT EMPTY,
131,POINT (-46.66720799209275 -23.533227750000002),"Near Offices Perdizes, 446, Rua Turiassu, Perdizes, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 05005-000, Brasil"
132,POINT (35.50255852895232 33.88922645),"بيروت, جنبلاط, رأس بيروت, البسطة التحتا, باشورة, محافظة بيروت, لبنان"
133,POINT (100.4935089 13.7524938),"กรุงเทพมหานคร, 10200, ประเทศไทย"
134,POINT (23.9918417 45.6771866),"Hiking Trail along the Șteaza , near DJ106A, Rășinari, Sibiu, 550001, România"
135,POINT (19.9999957 35.0000035),Mediterranean Sea
136,POINT (74.8145986 34.0994791),"Masjid Sharief Nowhatta Near Police Station, Nowhatta Kathi Darwaza Road, Nowhatta, Srinagar, Srinagar (South), Srinagar District, Jammu and Kashmir, 190003, India"
137,POINT (-122.674194 45.5202471),"Portland, Multnomah County, Oregon, United States"
138,POINT EMPTY,
139,POINT (-115.16411744999999 36.098267750000005),"Travelodge Las Vegas Airport North/Near the Strip, Koval Lane, Paradise, Clark County, Nevada, 89158, United States"
140,POINT EMPTY,
141,POINT (-67.7952933 -16.4446393),"Zona de Campamento de Kakapi cerca del Rio, Camino Takesi, Kakapi, Municipio Yanacachi, Provincia Sud Yungas, La Paz, Bolivia"
142,POINT (10.7389701 59.9133301),"Oslo, Norge"
143,POINT EMPTY,
144,POINT (-85.1386015 41.0799898),"Fort Wayne, Allen County, Indiana, United States"
145,POINT (-80.1929369 25.8143476),"OFF-WHITE, 127, Northeast 41st Street, Buena Vista, Miami, Miami-Dade County, Florida, 33137, United States"
146,POINT EMPTY,
147,POINT (66.2385139 33.7680065),افغانستان
148,POINT EMPTY,
149,POINT (-115.148516 36.1672559),"Las Vegas, Clark County, Nevada, United States"
150,POINT (-105.840981 46.4085273),"Miles City, Custer County, Montana, United States"
151,POINT EMPTY,
152,POINT EMPTY,
153,POINT (-83.0466403 42.3315509),"Detroit, Wayne County, Michigan, United States"
154,POINT (142.08709052245882 -5.522593049999999),"New Guinea, Southern Region, Papua Niugini"
155,POINT (-16.621447121144122 28.2935785),"Tenerife, Canarias, España"
156,POINT (-79.3839347 43.6534817),"Old Toronto, Toronto, Golden Horseshoe, Ontario, Canada"
157,POINT (3.0601882 36.7753606),"Alger الجزائر, Alger Centre ⴷⵣⴰⵢⴻⵔ ⵜⴰⵍⴻⵎⵎⴰⵙⵜ الجزائر الوسطى, Sidi M'Hamed, Alger الجزائر, 16007, Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر"
158,POINT (13.3888599 52.5170365),"Berlin, Deutschland"
159,POINT (9.1896346 45.4641943),"Milano, Lombardia, Italia"
160,POINT EMPTY,
161,POINT (79.0820556 21.1498134),"Nagpur Urban Taluka, Nagpur, Maharashtra, India"
162,POINT EMPTY,
163,POINT (-4.016107 5.320357),"Abidjan, Le Plateau, Abidjan, Côte d’Ivoire"
164,POINT EMPTY,
165,POINT (69.2022711 34.531964),"1st Macorryan Bridge Near MoPW, ناحیه نهم, کابل, کابل ښاروالۍ, ولایت كابل, 1002, افغانستان"
166,POINT (-120.375716 35.3540209),"San Luis Obispo County, California, United States"
167,POINT (12.5700724 55.6867243),"København, Københavns Kommune, Region Hovedstaden, 1357, Danmark"
168,POINT EMPTY,
169,POINT (120.99684635358483 14.536268100000001),"RedDoorz Near Passay Rotonda, Kapitan Merong Street, Barangay 77, Zone 10, District 1, Pasay, Southern Manila District, Metro Manila, 1302, Philippines"
170,POINT (35.9239625 31.9515694),"عمان, ناحية عمان, لواء قصبة عمان, عمان, 11110, الأردن"
171,POINT EMPTY,
172,POINT EMPTY,
173,POINT EMPTY,
174,POINT (107.6049539 -6.9344694),"Bandung, Jawa Barat, Indonesia"
175,POINT EMPTY,
176,POINT EMPTY,
177,POINT EMPTY,
178,POINT (-61.5 -17.333333),"Santa Cruz, Bolivia"
179,POINT (114.1628131 22.2793278),"香港島 Hong Kong Island, 香港 Hong Kong, 中国"
180,POINT (-96.7968559 32.7762719),"Dallas, Dallas County, Texas, United States"
181,POINT EMPTY,
182,POINT (-66.9146008 10.5060934),"Caracas, Parroquia Catedral, Municipio Libertador, Distrito Capital, Venezuela"
183,POINT (67.0888007 24.8701057),"Toyota Central Motors, 3, Main Shahrah-e-Faisal Near Awami Markaz, Shahrah-e-Faisal (Drigh Road), الحمراء, کراچی, سندھ, کراچی, 75350, پاکستان"
184,POINT (-73.8174291 40.7654301),"Flushing, Queens County, City of New York, New York, 11354, United States"
185,POINT (-122.2566367 38.1040864),"Vallejo, Solano County, California, United States"
186,POINT EMPTY,
187,POINT (-70.2308883 1.2523268),"Mitú, Vaupés, Colombia"
188,POINT (-90.1910154 38.6280278),"St. Louis, Missouri, United States"
189,POINT EMPTY,
190,POINT EMPTY,
191,POINT (-77.0350922 38.9074322),"Embassy of Hungary, 1500, Rhode Island Avenue Northwest, Dupont Circle, Washington, District of Columbia, 20005, United States"
192,POINT (-76.96862914898367 -12.066430100000002),"Off Road, Avenida Separadora Industrial, Parques de Monterrico, La Molina, Lima, Lima Metropolitana, Lima, 15022, Perú"
193,POINT EMPTY,
194,POINT EMPTY,
195,POINT EMPTY,
196,POINT EMPTY,
197,POINT EMPTY,
198,POINT (114.5925828 -3.3187496),"Banjarmasin, Kalimantan Selatan, Indonesia"
199,POINT EMPTY,
200,POINT (122.9513786 10.6762836),"Bacolod, Western Visayas, 6100, Philippines"
201,POINT (60.60825 56.839104),"Екатеринбург, городской округ Екатеринбург, Свердловская область, Уральский федеральный округ, Россия"
202,POINT EMPTY,
203,POINT (-43.9451356 -19.9225776),"Belo Horizonte, Região Geográfica Imediata de Belo Horizonte, Região Metropolitana de Belo Horizonte, Região Geográfica Intermediária de Belo Horizonte, Minas Gerais, Região Sudeste, Brasil"
204,POINT EMPTY,
205,POINT (172.6366455 -43.530955),"Christchurch, Christchurch City, Canterbury, New Zealand/Aotearoa"
206,POINT EMPTY,
207,POINT (-118.242766 34.0536909),"Los Angeles, Los Angeles County, California, United States"
208,POINT (68.6418156 61.8793428),"Ханты-Мансийский автономный округ — Югра, Уральский федеральный округ, Россия"
209,POINT (-84.3902644 33.7489924),"Atlanta, Fulton County, Georgia, United States"
210,POINT (31.65972249667214 9.5200246),"Sudan Interior Church Primary School, Nyikango Road, Malakal, Makal Shilluk Island, Malakal, Upper Nile, South Sudan"
211,POINT EMPTY,
212,POINT (-83.3965995 42.2222614),"Romulus, Wayne County, Michigan, United States"
213,POINT (-70.2823732 41.6534847),"Hyannis, Barnstable, Barnstable County, Massachusetts, 02601, United States"
214,POINT (-50.2776717 -4.5658733),"Carajas, Belo Monte do Pará, Novo Repartimento, Região Geográfica Imediata de Tucuruí, Região Geográfica Intermediária de Marabá, Pará, Região Norte, Brasil"
215,POINT (106.8148171 -6.2617877),"RedDoorz Plus Near Lippo Mall Kemang 2, Jalan Kemang VI, RW 05, Bangka, Mampang Prapatan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, 12730, Indonesia"
216,POINT (126.9782914 37.5666791),"서울, 대한민국"
217,POINT (-79.5341802 8.9714493),"Panamá, Calidonia, Distrito Panamá, Panamá, 0823, Panamá"
218,POINT (5.3699525 43.2961743),"Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, France métropolitaine, 13000, France"
219,POINT (32.647186 25.702096),"مدينه الاقصر, الأقصر, مصر"
220,POINT (-3.7035825 40.4167047),"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, España"
221,POINT EMPTY,
222,POINT (11.5753822 48.1371079),"München, Bayern, Deutschland"
223,POINT (70.460128 34.430195),"جلال اباد, ننگرهار ولايت, افغانستان"
224,POINT (-1.8559154 38.9950921),"Albacete, Castilla-La Mancha, España"
225,POINT (-97.3375448 37.6922361),"Wichita, Sedgwick County, Kansas, United States"
226,POINT (114.21410346520179 22.323134449999998),"九龍灣 Kowloon Bay, 觀塘道 Kwun Tong Road, 牛頭角下 Lower Ngau Tau Kok, 牛頭角 Ngau Tau Kok, 觀塘區 Kwun Tong District, 九龍 Kowloon, 香港 Hong Kong, 999077, 中国"
227,POINT (69.2787079 41.3123363),"Toshkent, 100000, Oʻzbekiston"
228,POINT EMPTY,
229,POINT (115.2191175 -8.6524973),"Denpasar, Dangin Puri, Denpasar Timur, Bali, 80232, Indonesia"
230,POINT (-49.2712724 -25.4295963),"Curitiba, Região Geográfica Imediata de Curitiba, Região Metropolitana de Curitiba, Região Geográfica Intermediária de Curitiba, Paraná, Região Sul, Brasil"
231,POINT (-89.79089066807877 35.1888448),"Quality Suites Near Wolfchase Galleria, 8166, Varnavas Drive, Memphis, Shelby County, West Tennessee, Tennessee, 38016, United States"
232,POINT EMPTY,
233,POINT EMPTY,
234,POINT (107.36443697168565 19.5000383),北部湾/Vịnh Bắc Bộ
235,POINT (-79.8868741 -2.1900563),"Guayaquil, Guayas, Ecuador"
236,POINT EMPTY,
237,POINT EMPTY,
238,POINT (38.7612525 9.0107934),"አዲስ አበባ / Addis Ababa, Kirkos, አዲስ አበባ / Addis Ababa, አዲስ አበባ, 1138, ኢትዮጵያ"
239,POINT (-139.57831243878087 59.572734499999996),"Yakutat, Alaska, United States"
240,POINT (-134.419734 58.3019496),"Juneau, Alaska, United States"
241,POINT EMPTY,
242,POINT EMPTY,
243,POINT (-0.4587800741571181 51.46773895),"London Heathrow Airport, Eastchurch Road Roundabout, London Borough of Hillingdon, London, Greater London, England, TW6 1QB, United Kingdom"
244,POINT (4.7984687 52.3025593),"Amsterdam-Bataviaweg, Schiphol-Oost, Schiphol, Haarlemmermeer, Noord-Holland, Nederland, 1117 EW, Nederland"
245,POINT (-67.1391124 18.2011161),"Mayagüez, Puerto Rico, United States"
246,POINT EMPTY,
247,POINT EMPTY,
248,POINT EMPTY,
249,POINT EMPTY,
250,POINT EMPTY,
251,POINT EMPTY,
252,POINT (174.7631803 -36.852095),"Auckland, Waitematā, Auckland, 1010, New Zealand/Aotearoa"
253,POINT (-118.42139298414197 33.94216754999999),"Los Angeles International Airport, Vista Del Mar, Los Angeles, Los Angeles County, California, 90293, United States"
254,POINT (-89.6237402 20.9670759),"Mérida, Yucatán, México"
255,POINT (13.0001566 55.6052931),"Malmö, Malmö kommun, Skåne län, Sverige"
256,POINT EMPTY,
257,POINT (-156.31068331602177 20.802956799999997),"Maui, Maui County, Hawaii, United States"
258,POINT (-61.51139452899346 10.6472492),"Port Authority of Trinidad and Tobago, Downtown, Port of Spain, Trinidad and Tobago"
259,POINT (31.3718673 21.7960994),"وادي حلفا, أ 1, وادي حلفا, الولاية الشمالية, السودان"
260,POINT EMPTY,
261,POINT (-65.45746403129988 18.1215622),"Vieques, Puerto Rico, 00765, United States"
262,POINT EMPTY,
263,POINT (-15 -45),Južni Atlantik
264,POINT EMPTY,
265,POINT EMPTY,
266,POINT (17.688443357842537 40.63591975),"Brindisi, Puglia, Italia"
267,POINT (-86.2737642 12.1544035),"Managua (Municipio), Managua, 10000 (codigo maestro), Nicaragua"
268,POINT (-87.2169149 30.421309),"Pensacola, Escambia County, Florida, United States"
269,POINT (141.2981755 -6.1159886),"Kiunga, Western, Southern Region, Papua Niugini"
270,POINT EMPTY,
271,POINT (-57.6343814 -25.2800459),"Asunción, Distrito Capital, Región Oriental, Paraguay / Paraguái"
272,POINT EMPTY,
273,POINT (-74.3112574 40.014561),"Lakehurst, Ocean County, New Jersey, United States"
274,POINT EMPTY,
275,POINT EMPTY,
276,POINT EMPTY,
277,POINT (-122.4343609 37.7255163),"Pissed Off Pete's, 4524;4526;4528, Mission Street, Excelsior, San Francisco, California, 94112, United States"
278,POINT (18.5509126 4.3907153),"Bangî - Bangui, Ködörösêse tî Bêafrîka - République Centrafricaine"
279,POINT (73.3964 61.254032),"городской округ Сургут, Ханты-Мансийский автономный округ — Югра, Уральский федеральный округ, Россия"
280,POINT EMPTY,
281,POINT (77.2219388 28.6517178),"Delhi, Kotwali Tehsil, Central Delhi, Delhi, 110006, India"
282,POINT (-151.5401477 59.6440876),"Homer, Kenai Peninsula, Alaska, United States"
283,POINT (9.1797055 45.4655696),"RH Rent House, 9, Corso Magenta, Duomo, Municipio 1, Milano, Lombardia, 20123, Italia"
284,POINT (114.1628131 22.2793278),"香港島 Hong Kong Island, 香港 Hong Kong, 中国"
285,POINT EMPTY,
286,POINT (-53.40589453152174 48.049379599999995),"Trinity Bay, Newfoundland, Newfoundland and Labrador, Canada"
287,POINT (98.6738261 3.5896654),"Kota Medan, Sumatera Utara, Indonesia"
288,POINT (20.0817204 32.1288331),"بنغازي, ليبيا"
289,POINT EMPTY,
290,POINT (30.061507 -1.950851),"Akarere ka Nyarugenge, Umujyi wa Kigali, Rwanda"
291,POINT (-58.5871146 48.5452022),"Stephenville, Newfoundland, Newfoundland and Labrador, Canada"
292,POINT (-4.6965495 36.7010551),"Cheap Spanisg Family Holidays near Malaga, Calle del Olivar, Villafranco del Guadalhorce, Alhaurín el Grande, Valle del Guadalhorce, Málaga, Andalucía, 29570, España"
293,POINT (17.1093063 48.1516988),"Bratislava, Bratislavský kraj, Slovensko"
294,POINT (-72.9395915 -41.471798),"Puerto Montt, Provincia de Llanquihue, Región de Los Lagos, Chile"
295,POINT (18.0710935 59.3251172),"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige"
296,POINT (151.2082848 -33.8698439),"Sydney, Council of the City of Sydney, New South Wales, Australia"
297,POINT (77.2734146 28.558814),"Jaatre Ice Cream, Near, Shop No 1, Metro Station, Chandrasekhara Venkata Raman Marg, Pocket A, New Delhi, Kalkaji Tehsil, South East Delhi, Delhi, 110025, India"
298,POINT (-84.7480123 41.4486619),"Edgerton, Saint Joseph, Williams County, Ohio, United States"
299,POINT EMPTY,
300,POINT EMPTY,
301,POINT (56.3159546 58.5951603),"Пермский край, Приволжский федеральный округ, Россия"
302,POINT (99.99561927320003 9.50139445),"เกาะสมุย, จังหวัดสุราษฎร์ธานี, ประเทศไทย"
303,POINT (-118.21715788196887 34.139185499999996),"Comfort Inn Near Old Town Pasadena In Eagle Rock, 2300, Colorado Boulevard, Eagle Rock, Los Angeles, Los Angeles County, California, 90041, United States"
304,POINT (30.5156729 50.4507554),"Служба безпеки України, 33, Володимирська вулиця, Го́род Володимира, Старий Київ, Центр, Шевченківський район, Київ, 01034, Україна"
305,POINT EMPTY,
306,POINT (-112.97577 36.9902621),"Colorado City, Mohave County, Arizona, 86021, United States"
307,POINT (27.1310699 38.4224548),"İzmir, Konak, İzmir, Ege Bölgesi, 00000, Türkiye"
308,POINT EMPTY,
309,POINT (-67.8220778 -9.9765362),"Rio Branco, Região Geográfica Imediata de Rio Branco, Região Geográfica Intermediária de Rio Branco, Acre, Região Norte, Brasil"
310,POINT EMPTY,
311,POINT EMPTY,
312,POINT (-42.8970432 -20.2447972),"Rio Doce, Região Geográfica Imediata de Ponte Nova, Região Geográfica Intermediária de Juiz de Fora, Minas Gerais, Região Sudeste, Brasil"
313,POINT (-149.6771586 61.1518671),"Near Point Trail, Anchorage, Alaska, United States"
314,POINT (24.0308425 49.8459721),"Двор-музей СССР, 2, Князя Лева вулиця, Галицький район, Львів, Львівська міська громада, Львівський район, Львівська область, 79008, Україна"
315,POINT EMPTY,
316,POINT EMPTY,
317,POINT (-72.6863052 41.7781234),"Albany Avenue, Upper Albany, Hartford, Capitol Region COG, Connecticut, 06117, United States"
